filepath,label
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological365.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes264.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass220.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass295.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_359.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass28.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes47.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper909.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass269.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper979.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological72.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass153.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological879.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal211.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard209.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_391.jpg,0
data\raw\Residuos contenedores\AMARILLO (Electronicos rechazo parcial)\battery1.jpg,2
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass506.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic235.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes357.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological307.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper330.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological722.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological869.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper975.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard177.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic417.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper484.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes236.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_139.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes831.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper440.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper447.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper588.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes1932.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard57.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard119.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard272.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic768.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass252.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass152.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass121.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes518.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic665.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes153.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard318.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic583.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass180.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic323.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_365.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass629.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard228.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass371.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard212.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass498.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes203.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper552.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper480.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic239.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological940.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper833.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic4.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic771.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological741.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic376.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper601.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper936.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_335.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes162.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes713.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard329.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass189.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass435.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper182.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes629.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass97.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic161.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard376.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal226.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic428.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological304.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic413.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic342.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes404.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes468.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes417.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological497.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic131.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper995.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic222.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic202.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes1033.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological763.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard305.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological916.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological210.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes70.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass218.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes7.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes51.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological720.jpg,1
data\raw\Residuos contenedores\AMARILLO (Electronicos rechazo parcial)\battery808.jpg,2
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological585.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological261.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard193.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper1032.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard292.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes212.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\trash442.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological888.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper512.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_300.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic301.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard194.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass772.jpg,0
